dss_id,dss_name,family,target,granularity,n_samples,n_features,cv_mae_mean,holdout_mae,holdout_rmse,holdout_r2,trained_at,season,season_months,feature_cols,train_rows,test_rows,mae,rmse,r2,mae_mwh,rmse_mwh
DSS00011,Rajpimpri Solar 132kV,seasonal_meter,METER_POWER_MW,daily,484,,,,,,2026-05-27T17:21:03.251615,Winter,"[10, 11, 12, 1]","['temp_mean', 'temp_max', 'temp_min', 'swr_mean', 'swr_max', 'swr_sum', 'dni_mean', 'dni_max', 'wind_mean', 'wind_max', 'month', 'dayofyear', 'dayofweek', 'week', 'sin_doy', 'cos_doy', 'gen_lag_1', 'gen_lag_2', 'gen_lag_3', 'gen_lag_7', 'swr_lag_1', 'swr_lag_2', 'swr_lag_3', 'swr_lag_7', 'gen_roll_3', 'gen_roll_7', 'swr_roll_3', 'swr_roll_7']",411.0,73.0,,,-0.0651,16.7379,21.4284
DSS00011,Rajpimpri Solar 132kV,seasonal_meter,METER_POWER_MW,daily,113,,,,,,2026-05-27T17:21:03.581186,Spring,[2],"['temp_mean', 'temp_max', 'temp_min', 'swr_mean', 'swr_max', 'swr_sum', 'dni_mean', 'dni_max', 'wind_mean', 'wind_max', 'month', 'dayofyear', 'dayofweek', 'week', 'sin_doy', 'cos_doy', 'gen_lag_1', 'gen_lag_2', 'gen_lag_3', 'gen_lag_7', 'swr_lag_1', 'swr_lag_2', 'swr_lag_3', 'swr_lag_7', 'gen_roll_3', 'gen_roll_7', 'swr_roll_3', 'swr_roll_7']",96.0,17.0,,,-16.2801,16.2599,19.2293
DSS00011,Rajpimpri Solar 132kV,seasonal_meter,METER_POWER_MW,daily,368,,,,,,2026-05-27T17:21:04.264163,Summer,"[3, 4, 5]","['temp_mean', 'temp_max', 'temp_min', 'swr_mean', 'swr_max', 'swr_sum', 'dni_mean', 'dni_max', 'wind_mean', 'wind_max', 'month', 'dayofyear', 'dayofweek', 'week', 'sin_doy', 'cos_doy', 'gen_lag_1', 'gen_lag_2', 'gen_lag_3', 'gen_lag_7', 'swr_lag_1', 'swr_lag_2', 'swr_lag_3', 'swr_lag_7', 'gen_roll_3', 'gen_roll_7', 'swr_roll_3', 'swr_roll_7']",312.0,56.0,,,0.1557,16.7694,22.4743
DSS00011,Rajpimpri Solar 132kV,seasonal_meter,METER_POWER_MW,daily,488,,,,,,2026-05-27T17:21:05.364685,Monsoon,"[6, 7, 8, 9]","['temp_mean', 'temp_max', 'temp_min', 'swr_mean', 'swr_max', 'swr_sum', 'dni_mean', 'dni_max', 'wind_mean', 'wind_max', 'month', 'dayofyear', 'dayofweek', 'week', 'sin_doy', 'cos_doy', 'gen_lag_1', 'gen_lag_2', 'gen_lag_3', 'gen_lag_7', 'swr_lag_1', 'swr_lag_2', 'swr_lag_3', 'swr_lag_7', 'gen_roll_3', 'gen_roll_7', 'swr_roll_3', 'swr_roll_7']",414.0,74.0,,,0.0673,22.87,28.8862
DSS00015,Five Star MIDC 220kV,seasonal_meter,METER_POWER_MW,daily,484,,,,,,2026-05-27T17:21:29.470048,Winter,"[10, 11, 12, 1]","['temp_mean', 'temp_max', 'temp_min', 'swr_mean', 'swr_max', 'swr_sum', 'dni_mean', 'dni_max', 'wind_mean', 'wind_max', 'month', 'dayofyear', 'dayofweek', 'week', 'sin_doy', 'cos_doy', 'gen_lag_1', 'gen_lag_2', 'gen_lag_3', 'gen_lag_7', 'swr_lag_1', 'swr_lag_2', 'swr_lag_3', 'swr_lag_7', 'gen_roll_3', 'gen_roll_7', 'swr_roll_3', 'swr_roll_7']",411.0,73.0,,,0.193,3.3924,4.3148
DSS00015,Five Star MIDC 220kV,seasonal_meter,METER_POWER_MW,daily,113,,,,,,2026-05-27T17:21:29.809517,Spring,[2],"['temp_mean', 'temp_max', 'temp_min', 'swr_mean', 'swr_max', 'swr_sum', 'dni_mean', 'dni_max', 'wind_mean', 'wind_max', 'month', 'dayofyear', 'dayofweek', 'week', 'sin_doy', 'cos_doy', 'gen_lag_1', 'gen_lag_2', 'gen_lag_3', 'gen_lag_7', 'swr_lag_1', 'swr_lag_2', 'swr_lag_3', 'swr_lag_7', 'gen_roll_3', 'gen_roll_7', 'swr_roll_3', 'swr_roll_7']",96.0,17.0,,,-0.8072,2.8876,3.4592
DSS00015,Five Star MIDC 220kV,seasonal_meter,METER_POWER_MW,daily,368,,,,,,2026-05-27T17:21:30.846375,Summer,"[3, 4, 5]","['temp_mean', 'temp_max', 'temp_min', 'swr_mean', 'swr_max', 'swr_sum', 'dni_mean', 'dni_max', 'wind_mean', 'wind_max', 'month', 'dayofyear', 'dayofweek', 'week', 'sin_doy', 'cos_doy', 'gen_lag_1', 'gen_lag_2', 'gen_lag_3', 'gen_lag_7', 'swr_lag_1', 'swr_lag_2', 'swr_lag_3', 'swr_lag_7', 'gen_roll_3', 'gen_roll_7', 'swr_roll_3', 'swr_roll_7']",312.0,56.0,,,0.4342,3.9855,5.831
DSS00015,Five Star MIDC 220kV,seasonal_meter,METER_POWER_MW,daily,488,,,,,,2026-05-27T17:21:31.863207,Monsoon,"[6, 7, 8, 9]","['temp_mean', 'temp_max', 'temp_min', 'swr_mean', 'swr_max', 'swr_sum', 'dni_mean', 'dni_max', 'wind_mean', 'wind_max', 'month', 'dayofyear', 'dayofweek', 'week', 'sin_doy', 'cos_doy', 'gen_lag_1', 'gen_lag_2', 'gen_lag_3', 'gen_lag_7', 'swr_lag_1', 'swr_lag_2', 'swr_lag_3', 'swr_lag_7', 'gen_roll_3', 'gen_roll_7', 'swr_roll_3', 'swr_roll_7']",414.0,74.0,,,-0.2699,4.9524,6.1294
DSS00016,Karjat 132kV,seasonal_meter,METER_POWER_MW,daily,484,,,,,,2026-05-27T17:22:08.721724,Winter,"[10, 11, 12, 1]","['temp_mean', 'temp_max', 'temp_min', 'swr_mean', 'swr_max', 'swr_sum', 'dni_mean', 'dni_max', 'wind_mean', 'wind_max', 'month', 'dayofyear', 'dayofweek', 'week', 'sin_doy', 'cos_doy', 'gen_lag_1', 'gen_lag_2', 'gen_lag_3', 'gen_lag_7', 'swr_lag_1', 'swr_lag_2', 'swr_lag_3', 'swr_lag_7', 'gen_roll_3', 'gen_roll_7', 'swr_roll_3', 'swr_roll_7']",411.0,73.0,,,-0.189,5.1138,6.1572
DSS00016,Karjat 132kV,seasonal_meter,METER_POWER_MW,daily,113,,,,,,2026-05-27T17:22:09.100222,Spring,[2],"['temp_mean', 'temp_max', 'temp_min', 'swr_mean', 'swr_max', 'swr_sum', 'dni_mean', 'dni_max', 'wind_mean', 'wind_max', 'month', 'dayofyear', 'dayofweek', 'week', 'sin_doy', 'cos_doy', 'gen_lag_1', 'gen_lag_2', 'gen_lag_3', 'gen_lag_7', 'swr_lag_1', 'swr_lag_2', 'swr_lag_3', 'swr_lag_7', 'gen_roll_3', 'gen_roll_7', 'swr_roll_3', 'swr_roll_7']",96.0,17.0,,,-0.0961,0.1479,0.2121
DSS00016,Karjat 132kV,seasonal_meter,METER_POWER_MW,daily,368,,,,,,2026-05-27T17:22:09.962377,Summer,"[3, 4, 5]","['temp_mean', 'temp_max', 'temp_min', 'swr_mean', 'swr_max', 'swr_sum', 'dni_mean', 'dni_max', 'wind_mean', 'wind_max', 'month', 'dayofyear', 'dayofweek', 'week', 'sin_doy', 'cos_doy', 'gen_lag_1', 'gen_lag_2', 'gen_lag_3', 'gen_lag_7', 'swr_lag_1', 'swr_lag_2', 'swr_lag_3', 'swr_lag_7', 'gen_roll_3', 'gen_roll_7', 'swr_roll_3', 'swr_roll_7']",312.0,56.0,,,-0.5811,0.596,1.0982
