dss_id,dss_name,family,target,granularity,n_samples,n_features,cv_mae_mean,holdout_mae,holdout_rmse,holdout_r2,trained_at,season,season_months,feature_cols,train_rows,test_rows,mae,rmse,r2,mae_mwh,rmse_mwh
DSS00011,Rajpimpri Solar 132kV,seasonal_scada,SCADA_POWER_MW,15min,47232,,,,,,2026-05-27T17:20:57.178876,Winter,"[10, 11, 12, 1]","['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",37785.0,9447.0,2.036,3.7994,0.5825,,
DSS00011,Rajpimpri Solar 132kV,seasonal_scada,SCADA_POWER_MW,15min,10848,,,,,,2026-05-27T17:20:57.598416,Spring,[2],"['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",8678.0,2170.0,2.8182,5.0434,0.1481,,
DSS00011,Rajpimpri Solar 132kV,seasonal_scada,SCADA_POWER_MW,15min,35767,,,,,,2026-05-27T17:20:58.549560,Summer,"[3, 4, 5]","['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",28613.0,7154.0,2.0955,3.699,0.5398,,
DSS00011,Rajpimpri Solar 132kV,seasonal_scada,SCADA_POWER_MW,15min,46848,,,,,,2026-05-27T17:21:00.009196,Monsoon,"[6, 7, 8, 9]","['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",37478.0,9370.0,1.6585,3.1389,0.5089,,
DSS00015,Five Star MIDC 220kV,seasonal_scada,SCADA_POWER_MW,15min,47232,,,,,,2026-05-27T17:21:24.021566,Winter,"[10, 11, 12, 1]","['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",37785.0,9447.0,0.5559,1.0736,0.4545,,
DSS00015,Five Star MIDC 220kV,seasonal_scada,SCADA_POWER_MW,15min,10848,,,,,,2026-05-27T17:21:24.454184,Spring,[2],"['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",8678.0,2170.0,0.227,0.4318,0.8617,,
DSS00015,Five Star MIDC 220kV,seasonal_scada,SCADA_POWER_MW,15min,35767,,,,,,2026-05-27T17:21:25.146512,Summer,"[3, 4, 5]","['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",28613.0,7154.0,0.4357,0.9543,0.3525,,
DSS00015,Five Star MIDC 220kV,seasonal_scada,SCADA_POWER_MW,15min,46848,,,,,,2026-05-27T17:21:25.960569,Monsoon,"[6, 7, 8, 9]","['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",37478.0,9370.0,0.5379,0.8262,-0.7839,,
DSS00016,Karjat 132kV,seasonal_scada,SCADA_POWER_MW,15min,47232,,,,,,2026-05-27T17:22:01.804527,Winter,"[10, 11, 12, 1]","['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",37785.0,9447.0,0.0038,0.0221,0.0,,
DSS00016,Karjat 132kV,seasonal_scada,SCADA_POWER_MW,15min,10848,,,,,,2026-05-27T17:22:02.598109,Spring,[2],"['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",8678.0,2170.0,0.1087,0.2102,0.0,,
DSS00016,Karjat 132kV,seasonal_scada,SCADA_POWER_MW,15min,35767,,,,,,2026-05-27T17:22:03.929507,Summer,"[3, 4, 5]","['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",28613.0,7154.0,0.1122,0.2375,0.0,,
DSS00016,Karjat 132kV,seasonal_scada,SCADA_POWER_MW,15min,46848,,,,,,2026-05-27T17:22:05.420267,Monsoon,"[6, 7, 8, 9]","['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",37478.0,9370.0,0.0402,0.0965,0.0,,
DSS00017,New MIDC Jalgaon 132kV,seasonal_scada,SCADA_POWER_MW,15min,47232,,,,,,2026-05-27T17:22:49.746548,Winter,"[10, 11, 12, 1]","['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",37785.0,9447.0,0.5849,1.0558,0.1466,,
DSS00017,New MIDC Jalgaon 132kV,seasonal_scada,SCADA_POWER_MW,15min,10848,,,,,,2026-05-27T17:22:50.191736,Spring,[2],"['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",8678.0,2170.0,0.3233,0.5963,0.7722,,
DSS00017,New MIDC Jalgaon 132kV,seasonal_scada,SCADA_POWER_MW,15min,35767,,,,,,2026-05-27T17:22:50.930125,Summer,"[3, 4, 5]","['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",28613.0,7154.0,0.456,0.7527,0.4298,,
DSS00017,New MIDC Jalgaon 132kV,seasonal_scada,SCADA_POWER_MW,15min,46848,,,,,,2026-05-27T17:22:52.089941,Monsoon,"[6, 7, 8, 9]","['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",37478.0,9370.0,0.266,0.4852,0.5835,,
DSS00018,Mohol 132kV,seasonal_scada,SCADA_POWER_MW,15min,47232,,,,,,2026-05-27T17:23:15.150897,Winter,"[10, 11, 12, 1]","['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",37785.0,9447.0,1.5326,2.811,0.3866,,
DSS00018,Mohol 132kV,seasonal_scada,SCADA_POWER_MW,15min,10848,,,,,,2026-05-27T17:23:15.607672,Spring,[2],"['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",8678.0,2170.0,1.2493,2.0669,0.5392,,
DSS00018,Mohol 132kV,seasonal_scada,SCADA_POWER_MW,15min,35767,,,,,,2026-05-27T17:23:16.308146,Summer,"[3, 4, 5]","['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",28613.0,7154.0,2.0606,3.0613,0.1565,,
DSS00018,Mohol 132kV,seasonal_scada,SCADA_POWER_MW,15min,46848,,,,,,2026-05-27T17:23:17.525073,Monsoon,"[6, 7, 8, 9]","['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",37478.0,9370.0,1.8919,2.5599,-0.041,,
DSS00019,Kharda 132kV,seasonal_scada,SCADA_POWER_MW,15min,47232,,,,,,2026-05-27T17:24:00.841529,Winter,"[10, 11, 12, 1]","['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",37785.0,9447.0,1.6142,3.1153,-3.9759,,
DSS00019,Kharda 132kV,seasonal_scada,SCADA_POWER_MW,15min,10848,,,,,,2026-05-27T17:24:01.317973,Spring,[2],"['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",8678.0,2170.0,1.6203,2.5223,0.4748,,
DSS00019,Kharda 132kV,seasonal_scada,SCADA_POWER_MW,15min,35767,,,,,,2026-05-27T17:24:02.023515,Summer,"[3, 4, 5]","['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",28613.0,7154.0,1.1256,2.0615,0.5014,,
DSS00019,Kharda 132kV,seasonal_scada,SCADA_POWER_MW,15min,46848,,,,,,2026-05-27T17:24:02.894143,Monsoon,"[6, 7, 8, 9]","['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",37478.0,9370.0,1.0123,1.7736,-2.152,,
DSS00020,Walwhan 132kV,seasonal_scada,SCADA_POWER_MW,15min,47232,,,,,,2026-05-27T17:24:44.382737,Winter,"[10, 11, 12, 1]","['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",37785.0,9447.0,1.5704,3.1597,0.5314,,
DSS00020,Walwhan 132kV,seasonal_scada,SCADA_POWER_MW,15min,10848,,,,,,2026-05-27T17:24:44.817142,Spring,[2],"['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",8678.0,2170.0,1.6384,3.0878,0.6882,,
DSS00020,Walwhan 132kV,seasonal_scada,SCADA_POWER_MW,15min,35767,,,,,,2026-05-27T17:24:45.513690,Summer,"[3, 4, 5]","['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",28613.0,7154.0,2.0068,3.6338,0.528,,
DSS00020,Walwhan 132kV,seasonal_scada,SCADA_POWER_MW,15min,46848,,,,,,2026-05-27T17:24:46.347768,Monsoon,"[6, 7, 8, 9]","['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",37478.0,9370.0,2.4072,4.2438,0.0784,,
DSS00021,Karajgi 132kV,seasonal_scada,SCADA_POWER_MW,15min,47232,,,,,,2026-05-27T17:25:37.611711,Winter,"[10, 11, 12, 1]","['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",37785.0,9447.0,3.9744,7.8688,0.6643,,
DSS00021,Karajgi 132kV,seasonal_scada,SCADA_POWER_MW,15min,10848,,,,,,2026-05-27T17:25:38.181660,Spring,[2],"['ghi', 'dni', 'temp', 'wind', 'irr_ratio', 'temp_factor', 'wind_temp', 'sin_h', 'cos_h', 'day']",8678.0,2170.0,4.4051,10.0922,0.3662,,
